id,n_all,p,n,fov,annotator,tp,fp,tn,fn,ground_truth,width,height,img_size,test,acc,sens,spec
21,225600,24650,200950,True,1,,,,,,584,565,329960,False,,,
21,329960,24658,305302,False,1,,,,,,584,565,329960,False,,,
22,227686,29800,197886,True,1,,,,,,584,565,329960,False,,,
22,329960,29809,300151,False,1,,,,,,584,565,329960,False,,,
23,228187,21714,206473,True,1,,,,,,584,565,329960,False,,,
23,329960,21723,308237,False,1,,,,,,584,565,329960,False,,,
24,227726,38215,189511,True,1,,,,,,584,565,329960,False,,,
24,329960,38229,291731,False,1,,,,,,584,565,329960,False,,,
25,227362,31664,195698,True,1,,,,,,584,565,329960,False,,,
25,329960,31669,298291,False,1,,,,,,584,565,329960,False,,,
26,225092,27496,197596,True,1,,,,,,584,565,329960,False,,,
26,329960,27573,302387,False,1,,,,,,584,565,329960,False,,,
27,227826,29071,198755,True,1,,,,,,584,565,329960,False,,,
27,329960,29073,300887,False,1,,,,,,584,565,329960,False,,,
28,227327,32209,195118,True,1,,,,,,584,565,329960,False,,,
28,329960,32228,297732,False,1,,,,,,584,565,329960,False,,,
29,227309,27738,199571,True,1,,,,,,584,565,329960,False,,,
29,329960,27751,302209,False,1,,,,,,584,565,329960,False,,,
30,227259,25877,201382,True,1,,,,,,584,565,329960,False,,,
30,329960,25884,304076,False,1,,,,,,584,565,329960,False,,,
31,227701,19897,207804,True,1,,,,,,584,565,329960,False,,,
31,329960,19898,310062,False,1,,,,,,584,565,329960,False,,,
32,224944,26956,197988,True,1,,,,,,584,565,329960,False,,,
32,329960,26984,302976,False,1,,,,,,584,565,329960,False,,,
33,227738,26679,201059,True,1,,,,,,584,565,329960,False,,,
33,329960,26686,303274,False,1,,,,,,584,565,329960,False,,,
34,226542,32287,194255,True,1,,,,,,584,565,329960,False,,,
34,329960,32287,297673,False,1,,,,,,584,565,329960,False,,,
35,227646,28612,199034,True,1,,,,,,584,565,329960,False,,,
35,329960,28612,301348,False,1,,,,,,584,565,329960,False,,,
36,227217,35884,191333,True,1,,,,,,584,565,329960,False,,,
36,329960,35884,294076,False,1,,,,,,584,565,329960,False,,,
37,227186,28841,198345,True,1,,,,,,584,565,329960,False,,,
37,329960,28841,301119,False,1,,,,,,584,565,329960,False,,,
38,226224,28477,197747,True,1,,,,,,584,565,329960,False,,,
38,329960,28477,301483,False,1,,,,,,584,565,329960,False,,,
39,227460,28348,199112,True,1,,,,,,584,565,329960,False,,,
39,329960,28348,301612,False,1,,,,,,584,565,329960,False,,,
40,226974,25000,201974,True,1,,,,,,584,565,329960,False,,,
40,329960,25001,304959,False,1,,,,,,584,565,329960,False,,,
01,224377,29412,194965,True,1,23428.0,5417.0,189548.0,5984.0,1.0,584,565,329960,True,0.9491881966511719,0.7965456276349789,0.9722155258636166
01,329960,29440,300520,False,1,23430.0,5418.0,295102.0,6010.0,1.0,584,565,329960,True,0.9653654988483452,0.7958559782608695,0.9819712498336217
01,224377,28845,195532,True,2,23428.0,5984.0,189548.0,5417.0,2.0,584,565,329960,True,0.9491881966511719,0.8122031547928584,0.9693963136468711
01,329960,28848,301112,False,2,23430.0,6010.0,295102.0,5418.0,2.0,584,565,329960,True,0.9653654988483452,0.8121880199667221,0.9800406493264965
02,225087,33723,191364,True,1,27780.0,5455.0,185909.0,5943.0,1.0,584,565,329960,True,0.9493618023253231,0.8237701272128815,0.9714941159256705
02,329960,33790,296170,False,1,27785.0,5457.0,290713.0,6005.0,1.0,584,565,329960,True,0.9652624560552794,0.8222846996152708,0.9815747712462437
02,225087,33235,191852,True,2,27780.0,5943.0,185909.0,5455.0,2.0,584,565,329960,True,0.9493618023253231,0.8358658041221604,0.9690229968934387
02,329960,33242,296718,False,2,27785.0,6005.0,290713.0,5457.0,2.0,584,565,329960,True,0.9652624560552794,0.8358402021539016,0.9797619288347859
03,225727,32886,192841,True,1,24419.0,4940.0,187901.0,8467.0,1.0,584,565,329960,True,0.9406052443881325,0.742534817247461,0.9743830409508352
03,329960,32893,297067,False,1,24419.0,4940.0,292127.0,8474.0,1.0,584,565,329960,True,0.9593465874651473,0.7423767974949077,0.9833707547455625
03,225727,29359,196368,True,2,24419.0,8467.0,187901.0,4940.0,2.0,584,565,329960,True,0.9406052443881325,0.8317381382199667,0.9568819766968142
03,329960,29359,300601,False,2,24419.0,8474.0,292127.0,4940.0,2.0,584,565,329960,True,0.9593465874651473,0.8317381382199667,0.9718098076852705
04,227577,30343,197234,True,1,23769.0,5138.0,192096.0,6574.0,1.0,584,565,329960,True,0.9485360998694947,0.7833437695679399,0.9739497246924972
04,329960,30354,299606,False,1,23769.0,5138.0,294468.0,6585.0,1.0,584,565,329960,True,0.96447145108498,0.7830598932595375,0.9828508107314273
04,227577,28907,198670,True,2,23769.0,6574.0,192096.0,5138.0,2.0,584,565,329960,True,0.9485360998694947,0.8222575846680735,0.9669099511753159
04,329960,28907,301053,False,2,23769.0,6585.0,294468.0,5138.0,2.0,584,565,329960,True,0.96447145108498,0.8222575846680735,0.9781267750196809
05,227693,30898,196795,True,1,22795.0,4026.0,192769.0,8103.0,1.0,584,565,329960,True,0.9467309052100855,0.7377500161822772,0.9795421631647145
05,329960,30912,299048,False,1,22795.0,4026.0,295022.0,8117.0,1.0,584,565,329960,True,0.9631985695235786,0.7374158902691511,0.9865372782964608
05,227693,26821,200872,True,2,22795.0,8103.0,192769.0,4026.0,2.0,584,565,329960,True,0.9467309052100855,0.8498937399798665,0.9596608785694373
05,329960,26821,303139,False,2,22795.0,8117.0,295022.0,4026.0,2.0,584,565,329960,True,0.9631985695235786,0.8498937399798665,0.9732235047288538
06,227499,32105,195394,True,1,24194.0,6540.0,188854.0,7911.0,1.0,584,565,329960,True,0.9364788416652381,0.7535897835228158,0.9665291667093155
06,329960,32116,297844,False,1,24194.0,6540.0,291304.0,7922.0,1.0,584,565,329960,True,0.9561704449024124,0.7533316726865114,0.9780421965861323
06,227499,30734,196765,True,2,24194.0,7911.0,188854.0,6540.0,2.0,584,565,329960,True,0.9364788416652381,0.7872063512722067,0.9597946789317205
06,329960,30734,299226,False,2,24194.0,7922.0,291304.0,6540.0,2.0,584,565,329960,True,0.9561704449024124,0.7872063512722067,0.9735250279053291
07,227675,30144,197531,True,1,20664.0,2966.0,194565.0,9480.0,1.0,584,565,329960,True,0.9453343581860107,0.6855095541401274,0.9849846353230632
07,329960,30152,299808,False,1,20664.0,2966.0,296842.0,9488.0,1.0,584,565,329960,True,0.9622560310340648,0.6853276731228443,0.9901070018144946
07,227675,23630,204045,True,2,20664.0,9480.0,194565.0,2966.0,2.0,584,565,329960,True,0.9453343581860107,0.8744815911976301,0.9535396603690363
07,329960,23630,306330,False,2,20664.0,9488.0,296842.0,2966.0,2.0,584,565,329960,True,0.9622560310340648,0.8744815911976301,0.9690268664512127
08,225248,28311,196937,True,1,18689.0,3287.0,193650.0,9622.0,1.0,584,565,329960,True,0.9426898352038642,0.660132104129137,0.9833093832037657
08,329960,28389,301571,False,1,18694.0,3287.0,298284.0,9695.0,1.0,584,565,329960,True,0.9606558370711601,0.6584944873014196,0.9891004108485232
08,225248,21976,203272,True,2,18689.0,9622.0,193650.0,3287.0,2.0,584,565,329960,True,0.9426898352038642,0.8504277393520204,0.9526644102483373
08,329960,21981,307979,False,2,18694.0,9695.0,298284.0,3287.0,2.0,584,565,329960,True,0.9606558370711601,0.8504617624311905,0.9685205809487011
09,227660,26740,200920,True,1,20556.0,6098.0,194822.0,6184.0,1.0,584,565,329960,True,0.9460511288763946,0.768735976065819,0.9696496117857853
09,329960,26741,303219,False,1,20556.0,6098.0,297121.0,6185.0,1.0,584,565,329960,True,0.9627742756697781,0.7687072286002767,0.9798891230430811
09,227660,26654,201006,True,2,20556.0,6184.0,194822.0,6098.0,2.0,584,565,329960,True,0.9460511288763946,0.7712163277556839,0.9692347492114664
09,329960,26654,303306,False,2,20556.0,6185.0,297121.0,6098.0,2.0,584,565,329960,True,0.9627742756697781,0.7712163277556839,0.9796080525937502
10,227332,27152,200180,True,1,19469.0,4202.0,195978.0,7683.0,1.0,584,565,329960,True,0.9477196347192652,0.7170374189746611,0.9790088919972025
10,329960,27156,302804,False,1,19469.0,4202.0,298602.0,7687.0,1.0,584,565,329960,True,0.963968359801188,0.7169318014435115,0.9861230366837954
10,227332,23671,203661,True,2,19469.0,7683.0,195978.0,4202.0,2.0,584,565,329960,True,0.9477196347192652,0.8224832073000719,0.9622755461281247
10,329960,23671,306289,False,2,19469.0,7687.0,298602.0,4202.0,2.0,584,565,329960,True,0.963968359801188,0.8224832073000719,0.9749027878898687
11,227814,29533,198281,True,1,22427.0,5023.0,193258.0,7106.0,1.0,584,565,329960,True,0.9467591982933445,0.7593878034740799,0.9746672651439119
11,329960,29539,300421,False,1,22427.0,5023.0,295398.0,7112.0,1.0,584,565,329960,True,0.963222814886653,0.7592335556383086,0.9832801302172618
11,227814,27450,200364,True,2,22427.0,7106.0,193258.0,5023.0,2.0,584,565,329960,True,0.9467591982933445,0.8170127504553734,0.9645345471242339
11,329960,27450,302510,False,2,22427.0,7112.0,295398.0,5023.0,2.0,584,565,329960,True,0.963222814886653,0.8170127504553734,0.976490033387326
12,227605,28490,199115,True,1,21958.0,4543.0,194572.0,6532.0,1.0,584,565,329960,True,0.9513411392544101,0.7707265707265707,0.9771840393742309
12,329960,28490,301470,False,1,21958.0,4543.0,296927.0,6532.0,1.0,584,565,329960,True,0.9664353254939992,0.7707265707265707,0.9849305071814775
12,227605,26501,201104,True,2,21958.0,6532.0,194572.0,4543.0,2.0,584,565,329960,True,0.9513411392544101,0.8285725066978604,0.9675192934998806
12,329960,26501,303459,False,2,21958.0,6532.0,296927.0,4543.0,2.0,584,565,329960,True,0.9664353254939992,0.8285725066978604,0.9784748516274027
13,227500,32252,195248,True,1,25917.0,7473.0,187775.0,6335.0,1.0,584,565,329960,True,0.9393054945054945,0.8035780726776633,0.9617256002622306
13,329960,32259,297701,False,1,25917.0,7473.0,290228.0,6342.0,1.0,584,565,329960,True,0.9581312886410474,0.8034037012926625,0.9748976321880007
13,227500,33390,194110,True,2,25917.0,6335.0,187775.0,7473.0,2.0,584,565,329960,True,0.9393054945054945,0.7761904761904762,0.9673638658492607
13,329960,33390,296570,False,2,25917.0,6342.0,290228.0,7473.0,2.0,584,565,329960,True,0.9581312886410474,0.7761904761904762,0.9786155039282463
14,225854,26631,199223,True,1,20540.0,4106.0,195117.0,6091.0,1.0,584,565,329960,True,0.9548513641556049,0.7712815891254553,0.9793899298775743
14,329960,26677,303283,False,1,20540.0,4106.0,299177.0,6137.0,1.0,584,565,329960,True,0.9689568432537278,0.7699516437380515,0.9864614897636861
14,225854,24646,201208,True,2,20540.0,6091.0,195117.0,4106.0,2.0,584,565,329960,True,0.9548513641556049,0.833400957559036,0.9697278438233072
14,329960,24646,305314,False,2,20540.0,6137.0,299177.0,4106.0,2.0,584,565,329960,True,0.9689568432537278,0.833400957559036,0.9798993822752969
15,227394,23612,203782,True,1,18896.0,5720.0,198062.0,4716.0,1.0,584,565,329960,True,0.9541060889909144,0.8002710486193461,0.9719307887840928
15,329960,23614,306346,False,1,18896.0,5720.0,300626.0,4718.0,1.0,584,565,329960,True,0.9683658625287914,0.8002032692470569,0.9813283019853368
15,227394,24616,202778,True,2,18896.0,4716.0,198062.0,5720.0,2.0,584,565,329960,True,0.9541060889909144,0.7676308092297692,0.9767430391857105
15,329960,24616,305344,False,2,18896.0,4718.0,300626.0,5720.0,2.0,584,565,329960,True,0.9683658625287914,0.7676308092297692,0.9845485747222804
16,227694,29791,197903,True,1,23202.0,4884.0,193019.0,6589.0,1.0,584,565,329960,True,0.949612198828252,0.7788258198784868,0.9753212432353223
16,329960,29791,300169,False,1,23202.0,4884.0,295285.0,6589.0,1.0,584,565,329960,True,0.9652291186810522,0.7788258198784868,0.9837291659032079
16,227694,28086,199608,True,2,23202.0,6589.0,193019.0,4884.0,2.0,584,565,329960,True,0.949612198828252,0.826105533005768,0.9669903009899403
16,329960,28086,301874,False,2,23202.0,6589.0,295285.0,4884.0,2.0,584,565,329960,True,0.9652291186810522,0.826105533005768,0.9781730125814081
17,225884,27851,198033,True,1,20414.0,3977.0,194056.0,7437.0,1.0,584,565,329960,True,0.9494696392838802,0.7329718861082187,0.9799174884993915
17,329960,27852,302108,False,1,20414.0,3977.0,298131.0,7438.0,1.0,584,565,329960,True,0.965404897563341,0.7329455694384605,0.9868358335429714
17,225884,24391,201493,True,2,20414.0,7437.0,194056.0,3977.0,2.0,584,565,329960,True,0.9494696392838802,0.8369480546103071,0.9630905291995255
17,329960,24391,305569,False,2,20414.0,7438.0,298131.0,3977.0,2.0,584,565,329960,True,0.965404897563341,0.8369480546103071,0.9756585255703295
18,227612,26144,201468,True,1,22439.0,7882.0,193586.0,3705.0,1.0,584,565,329960,True,0.9490931936804737,0.8582848837209303,0.9608771616336093
18,329960,26144,303816,False,1,22439.0,7882.0,295934.0,3705.0,1.0,584,565,329960,True,0.9648836222572433,0.8582848837209303,0.9740566658767148
18,227612,30321,197291,True,2,22439.0,3705.0,193586.0,7882.0,2.0,584,565,329960,True,0.9490931936804737,0.7400481514461924,0.9812206334804933
18,329960,30321,299639,False,2,22439.0,3705.0,295934.0,7882.0,2.0,584,565,329960,True,0.9648836222572433,0.7400481514461924,0.9876351209288511
19,227388,27367,200021,True,1,24806.0,7938.0,192083.0,2561.0,1.0,584,565,329960,True,0.9538278185304414,0.906420141045785,0.9603141670124636
19,329960,27371,302589,False,1,24806.0,7938.0,294651.0,2565.0,1.0,584,565,329960,True,0.9681688689538126,0.9062876767381535,0.9737663960024985
19,227388,32744,194644,True,2,24806.0,2561.0,192083.0,7938.0,2.0,584,565,329960,True,0.9538278185304414,0.7575739066699243,0.9868426460615277
19,329960,32744,297216,False,2,24806.0,2565.0,294651.0,7938.0,2.0,584,565,329960,True,0.9681688689538126,0.7575739066699243,0.9913699127906976
20,227523,24264,203259,True,1,21106.0,9449.0,193810.0,3158.0,1.0,584,565,329960,True,0.9445902172527613,0.8698483349818661,0.9535125135910341
20,329960,24265,305695,False,1,21106.0,9449.0,296246.0,3159.0,1.0,584,565,329960,True,0.9617893077948843,0.8698124871213683,0.9690901061515563
20,227523,30555,196968,True,2,21106.0,3158.0,193810.0,9449.0,2.0,584,565,329960,True,0.9445902172527613,0.6907543773523155,0.9839669387920881
20,329960,30555,299405,False,2,21106.0,3159.0,296246.0,9449.0,2.0,584,565,329960,True,0.9617893077948843,0.6907543773523155,0.9894490739967602
